iter	Passed	Remaining
0	5	1067
1	14	1439
2	25	1641
3	36	1766
4	46	1808
5	57	1861
6	68	1882
7	79	1902
8	89	1909
9	101	1931
10	111	1921
11	122	1919
12	133	1921
13	145	1933
14	155	1917
15	160	1842
16	170	1832
17	180	1822
18	190	1814
19	200	1801
20	210	1791
21	220	1780
22	230	1772
23	240	1766
24	251	1763
25	262	1755
26	273	1752
27	284	1746
28	294	1734
29	304	1726
30	315	1722
31	325	1709
32	335	1699
33	345	1688
34	356	1678
35	366	1671
36	376	1658
37	387	1650
38	397	1641
39	410	1641
40	420	1631
41	424	1598
42	434	1588
43	445	1578
44	455	1569
45	465	1558
46	475	1548
47	486	1539
48	497	1532
49	507	1523
50	517	1513
51	528	1505
52	540	1498
53	550	1488
54	560	1477
55	570	1467
56	580	1456
57	590	1446
58	601	1436
59	610	1425
60	620	1415
61	631	1405
62	636	1383
63	645	1371
64	656	1363
65	666	1352
66	675	1341
67	686	1333
68	697	1323
69	707	1314
70	718	1306
71	730	1298
72	740	1288
73	750	1278
74	762	1270
75	772	1260
76	782	1250
77	793	1240
78	804	1231
79	815	1223
80	825	1212
81	835	1202
82	845	1192
83	855	1181
84	867	1173
85	876	1162
86	887	1152
87	898	1143
88	908	1133
89	918	1122
90	929	1113
91	940	1104
92	950	1093
93	960	1083
94	970	1072
95	980	1062
96	991	1052
97	1001	1042
98	1011	1032
99	1022	1022
100	1032	1012
101	1043	1002
102	1053	992
103	1063	981
104	1074	971
105	1085	962
106	1096	952
107	1107	943
108	1117	933
109	1128	923
110	1138	913
111	1149	903
112	1160	893
113	1170	883
114	1182	873
115	1192	863
116	1205	855
117	1215	844
118	1226	834
119	1236	824
120	1247	814
121	1257	803
122	1268	794
123	1279	784
124	1290	774
125	1300	764
126	1312	754
127	1323	744
128	1334	734
129	1344	724
130	1358	715
131	1369	705
132	1380	695
133	1392	685
134	1403	675
135	1414	665
136	1425	655
137	1436	645
138	1447	635
139	1459	625
140	1469	614
141	1480	604
142	1492	595
143	1503	584
144	1515	574
145	1526	564
146	1537	554
147	1548	544
148	1560	534
149	1570	523
150	1581	513
151	1592	502
152	1602	492
153	1617	483
154	1631	473
155	1643	463
156	1654	453
157	1664	442
158	1675	432
159	1687	421
160	1698	411
161	1709	401
162	1720	390
163	1732	380
164	1746	370
165	1756	359
166	1767	349
167	1776	338
168	1786	327
169	1797	317
170	1807	306
171	1818	295
172	1828	285
173	1838	274
174	1848	264
175	1859	253
176	1870	243
177	1881	232
178	1891	221
179	1901	211
180	1912	200
181	1922	190
182	1933	179
183	1943	169
184	1953	158
185	1963	147
186	1973	137
187	1984	126
188	1994	116
189	2005	105
190	2015	94
191	2025	84
192	2035	73
193	2045	63
194	2054	52
195	2065	42
196	2075	31
197	2085	21
198	2095	10
199	2107	0
